Heading,Time,Vas/GLMS Result,Question,Low Anchor, High Anchor, Low Value, High Value
Vas,null,50,How hungry do you feel right now?,Not at all hungry,As hungry as I have ever felt,0,100
Vas,null,50,How full do you feel right now?,Not at all full,As full as I have ever felt,0,100
Vas,null,50,How thirsty do you feel right now?,Not at all thirsty,As thirsty as I have ever felt,0,100
Vas,null,50,How nauseous do you feel right now?,Not at all nauseous,As nauseous as I have ever felt,0,100
Vas,null,50,How clear-headed do you feel right now?,Not at all clear-headed,As clear-headed as I have ever felt,0,100
Vas,null,50,How energetic do you feel right now?,Not at all energetic,As energetic as I have ever felt,0,100
Vas,null,50,How alert do you feel right now?,Not at all alert,As alert as I have ever felt,0,100
Vas,null,50,How hungry do you feel right now?,Not at all hungry,As hungry as I have ever felt,0,100
Vas,null,50,How full do you feel right now?,Not at all full,As full as I have ever felt,0,100
Vas,null,50,How thirsty do you feel right now?,Not at all thirsty,As thirsty as I have ever felt,0,100
Vas,2024.07.23.10.31.13.154,57,How hungry do you feel right now?,Not at all hungry,As hungry as I have ever felt,0,100
Vas,2024.07.23.10.31.15.946,74,How full do you feel right now?,Not at all full,As full as I have ever felt,0,100
Vas,2024.07.23.10.31.18.855,77,How thirsty do you feel right now?,Not at all thirsty,As thirsty as I have ever felt,0,100
Vas,2024.07.23.10.31.20.021,84,How nauseous do you feel right now?,Not at all nauseous,As nauseous as I have ever felt,0,100
Vas,2024.07.23.10.31.21.552,89,Hoe clear-headed do you feel right now?,Not at all clear-headed,As clear-headed as I have ever felt,0,100
Vas,2024.07.23.10.31.25.434,72,How energetic do you feel right now?,Not at all energetic,As energetic as I have ever felt,0,100
Vas,2024.07.23.10.31.26.854,79,How alert do you feel right now?,Not at all alert,As alert as I have ever felt,0,100
Elapsed Time,15, seconds
