Heading,Time,Vas/GLMS Result,Question,Low Anchor, High Anchor, Low Value, High Value
Vas,2024.06.13.14.37.25.021,86,Think about walking in the rain. How much do you like walking in the rain?,Dislike extremely,Like extremely,0,100
Vas,2024.06.13.14.37.27.241,77,Think about watching your favourite movie. How much do you like watching your favourite movie?,Dislike extremely,Like extremely,0,100
Vas,null,50,Think about a warm fire on a cold day. How much do you like a warm fire on a cold day?,Dislike extremely,Like extremely,0,100
Vas,null,50,Think about the sound of a car alarm. How much do you like the sound of a car alarm?,Dislike extremely,Like extremely,0,100
GLMS ,null,0,Think of listening to a heavy metal song with headphones on maximum volume.
GLMS ,null,0,Think of staring directly at the sun through binoculars
Vas,null,50,How hungry are you right now?,Not at all hungry,Extremely hungry,0,100
Vas,null,50,How full are you right now?,Not at all full,Extremely full,0,100
Vas,null,50,How thirsty are you right now?,Not at all thirsty,Extremely thirsty,0,100
Vas,null,50,How happy are you right now?,Not at all happy,Extremely happy,0,100
Vas,null,50,How anxious are you right now?,Not at all anxious,Extremely anxious,0,100
Vas,null,50,How tired are you right now?,Not at all tired,Extremely tired,0,100
Vas,null,50,How much do you like Sample 667?,Dislike extremely,Like extremely,0,100
GLMS ,null,0,How sweet is Sample 667?
GLMS ,null,0,How bitter is Sample 667?
GLMS ,null,0,How sour is Sample 667?
GLMS ,null,0,How salty is Sample 667?
Vas,null,50,How much do you like Sample 312?,Dislike extremely,Like extremely,0,100
GLMS ,null,0,How sweet is Sample 312?
GLMS ,null,0,How bitter is Sample 312?
GLMS ,null,0,How sour is Sample 312?
GLMS ,null,0,How salty is Sample 312?
Vas,null,50,How much do you like Sample 265?,Dislike extremely,Like extremely,0,100
GLMS ,null,0,How sweet is Sample 265?
GLMS ,null,0,How bitter is Sample 265?
GLMS ,null,0,How sour is Sample 265?
GLMS ,null,0,How salty is Sample 265?
Vas,null,50,How much do you like Sample 720?,Dislike extremely,Like extremely,0,100
GLMS ,null,0,How sweet is Sample 720?
GLMS ,null,0,How bitter is Sample 720?
GLMS ,null,0,How sour is Sample 720?
GLMS ,null,0,How salty is Sample 720?
